SMILES,Inhibition_A,Inhibition_B,Inhibition Mean
C1CN(CCC1N2C3=C(C=C(C=C3)F)N=N2)S(=O)(=O)C4=CC=CC=C4,1.26267,4.23103,2.74685
C1CN(CCN1C(=O)C2=C(C=C(C=C2)F)F)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,0.052356,-1.34273,-0.645187
COC(=O)C1(C2C(C(N1)C3=CC=CS3)C(=O)N(C2=O)C4=CC=CC=C4)C5=CC=CC=C5,-10.1116,-12.8254,-11.4685
CC(=NNC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2)CC(=O)NCC3=CC=CO3,3.29344,0.729384,2.011412
COC1=CC=CC(=C1)NC(=O)C2=CC3=CC=CC=C3C=C2OC,3.89981,1.64116,2.770485
CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N3CCN(CC3)C4=CC=C(C=C4)F,1.91463,2.79693,2.35578
C1C(C(OC1N2C=NC3=CC=CC=C32)CO)O,2.51988,0.763712,1.641796
CC1=CC2=C(C=C1S(=O)(=O)NC3=C(C=C(C=C3Cl)OC)OC)NC(=O)C(=O)N2,-4.01438,0.0684515,-1.97296425
CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC=CO3)C4=CC(=C(C=C4)OC)O)C(=O)OCC5CCCO5,-0.0662252,-2.88642,-1.4763226
CCOC1=CC(=C(C=C1)NC(=S)NC(=O)/C=C/C2=CC=C(C=C2)C)[N+](=O)[O-],17.9954,21.4145,19.70495
CCN1C[C@@]2(CC[C@@H](C34[C@H]1[C@]5([C@H](C23)OC(=O)C)[C@]6(C[C@@H]([C@H]7C[C@@]4(C6[C@H]7OC)O)OC)OCO5)OC)C,7.14633,3.86263,5.50448
CC(C)(C)OC(=O)NCCC1=NN=C(O1)SCC(=O)N,-4.16496,1.96767,-1.098645
CCCC(C1=NN=NN1CC2=CC=CC=C2)N3CCN(CC3)C4=CC=CC=C4OC.[Cl-],-0.917804,-3.3365,-2.127152
CN1C(=NN=C1SCC(=O)NCC2=CC=CS2)C3=CC=C(C=C3)S(=O)(=O)N4CCCC4,0.84021,1.56814,1.204175
C1=CC=NC(=C1)SCC(=O)NC2=NC3=C(S2)C=C(C=C3)Br,-2.73864,-2.33648,-2.53756
CCOC1=CC=CC=C1N2C(=NN=N2)SCC(=O)NC(=O)CC3=CC=CC=C3,2.7434,4.19247,3.467935
C1CCN(CC1)C(=O)C2=CC(=CC=C2)NC(=O)CC3=CC(=CC=C3)NC(=O)C4CCN(CC4)C(=O)C5=CC=CC=C5,6.13691,5.09232,5.614615000000001
CCOC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NN=NN2C3CCCCC3,-0.293686,1.1723,0.4393069999999999
